attendance,study_hours,previous_score,assignment_score,assignments_completed,final_score
59.8,1.2,62.1,64.7,7,52.5
52.3,6.3,66.4,90.4,5,62.4
66.3,5.3,74.5,94.0,9,71.9
69.4,5.9,88.1,61.2,4,73.3
63.6,2.5,94.1,54.2,7,70.5
91.4,2.0,82.3,86.8,10,75.2
67.8,1.1,63.0,56.5,3,57.0
64.0,3.5,63.2,89.4,5,63.7
77.1,5.1,80.6,65.4,5,72.7
57.0,3.7,53.1,80.1,3,61.7
90.1,4.1,46.1,45.7,7,62.2
53.7,7.3,59.5,77.4,10,67.9
99.3,3.4,55.8,67.1,6,65.1
88.6,4.6,56.3,75.2,3,59.7
59.9,6.5,52.8,50.1,7,56.7
50.3,3.8,42.3,84.2,3,51.7
90.8,5.4,41.0,91.8,3,62.9
85.3,7.0,94.3,53.0,4,78.3
86.5,7.6,63.5,45.7,7,70.3
88.6,2.0,61.1,41.4,6,59.0
53.7,7.5,77.4,78.5,9,72.7
67.9,4.4,52.0,76.4,4,60.8
55.8,2.8,92.2,72.8,3,68.7
93.2,4.2,83.2,53.9,9,73.5
81.2,7.9,44.9,63.5,8,71.1
66.5,4.4,63.0,75.7,9,67.4
53.2,3.3,88.4,69.8,3,65.6
65.5,5.4,92.0,99.3,3,81.1
66.3,2.7,65.7,48.2,10,61.9
86.5,1.5,73.7,81.7,7,74.5
81.9,1.9,49.2,64.3,7,59.9
94.4,1.9,94.5,65.7,4,74.0
73.6,2.1,52.7,83.1,6,62.5
56.0,2.0,91.9,81.5,4,65.2
85.7,5.5,75.7,99.5,5,80.4
88.0,2.3,73.4,47.7,3,63.0
78.1,3.4,68.2,46.2,9,64.3
88.5,7.3,52.7,83.5,8,74.2
74.7,4.3,49.7,74.7,3,54.2
76.1,5.7,52.1,56.4,3,57.8
71.4,2.2,50.3,44.8,4,51.2
51.3,2.3,82.9,45.1,8,61.3
55.4,1.3,59.3,93.7,8,58.6
51.6,2.2,43.2,51.5,8,51.8
81.8,3.0,93.3,59.4,4,70.0
65.7,2.2,88.6,53.6,3,66.8
75.4,1.6,91.0,61.3,4,69.9
95.4,1.8,94.7,44.2,7,72.3
62.5,4.2,49.6,71.1,7,64.5
70.5,2.4,61.8,44.1,4,51.4
87.8,3.5,81.7,88.0,8,82.6
61.4,4.5,78.3,54.0,10,71.4
53.8,5.8,48.5,72.4,3,54.0
64.5,1.3,84.9,92.8,4,73.7
58.1,6.6,52.3,79.1,4,61.0
96.5,5.4,52.3,72.0,4,69.0
90.4,1.6,69.5,59.5,10,70.0
81.7,7.1,72.6,60.0,10,76.1
93.6,7.4,71.9,80.2,5,82.2
90.2,1.4,45.0,99.6,7,68.4
59.3,2.9,88.3,79.7,9,68.0
94.6,6.6,54.6,73.5,8,77.7
77.0,6.2,47.1,83.8,6,61.7
90.4,2.3,88.9,67.9,10,81.8
94.8,2.5,92.6,43.6,9,79.1
65.9,3.6,87.4,73.7,10,71.9
55.5,4.4,84.5,97.5,8,74.7
61.4,5.3,76.0,50.5,6,61.5
71.4,3.6,70.3,81.4,5,67.5
90.9,4.2,44.8,52.1,4,57.4
93.0,6.2,62.5,72.1,5,75.2
50.3,1.3,60.5,45.8,10,56.7
75.5,2.8,54.3,67.0,5,63.6
70.9,6.0,79.8,85.4,9,77.2
61.1,7.3,67.3,60.9,3,63.7
56.0,4.6,44.5,79.9,10,55.4
66.9,4.7,52.1,87.7,10,65.2
97.1,1.8,77.6,95.6,9,83.3
66.2,4.1,44.2,54.1,7,59.5
75.9,4.7,86.8,64.0,6,70.4
85.2,2.7,67.2,49.1,4,60.1
68.2,2.9,66.4,99.5,9,71.7
98.6,3.6,72.6,95.6,6,80.3
98.1,1.1,85.4,72.4,8,74.6
62.6,3.3,59.1,90.5,6,65.4
74.9,2.5,77.3,71.3,8,68.7
65.0,3.3,71.1,77.4,9,68.7
64.2,1.8,54.7,45.3,10,56.7
51.8,7.2,88.3,85.3,10,79.8
80.5,5.2,83.9,47.7,7,71.0
75.1,5.8,76.2,89.6,9,78.9
52.6,6.5,86.8,86.9,8,76.8
63.9,4.5,87.7,82.5,6,73.6
95.4,1.6,79.0,42.2,6,66.4
62.0,4.8,86.0,58.2,8,75.6
57.2,5.1,78.4,55.8,5,66.2
74.5,6.2,77.4,61.6,7,72.1
99.3,4.0,74.0,45.3,3,70.3
62.1,1.9,81.4,96.2,10,73.1
83.6,3.0,48.7,73.2,4,63.8
88.1,3.5,88.4,58.3,6,75.9
61.9,5.5,88.0,63.8,4,70.2
86.4,5.0,41.6,66.8,3,60.8
68.4,3.5,85.4,76.0,9,69.9
81.6,7.9,47.1,70.9,4,62.8
81.7,5.2,58.4,95.2,3,66.6
76.8,2.7,80.9,69.8,10,73.9
54.5,1.7,48.8,99.5,8,64.8
91.8,2.1,85.0,91.1,5,84.7
66.0,2.7,85.8,52.5,10,71.0
59.3,2.1,67.9,95.8,6,67.3
52.0,2.3,40.4,47.0,3,37.0
79.5,3.0,55.8,89.0,4,63.3
83.9,2.2,73.9,62.8,6,65.2
50.8,7.3,94.0,92.7,5,77.2
75.6,1.6,74.7,92.1,8,71.7
61.3,4.7,54.3,88.4,9,64.8
82.3,3.9,74.9,87.4,6,68.9
58.7,7.9,69.7,58.3,9,72.0
84.5,1.8,82.9,44.9,3,61.0
69.3,3.8,45.9,64.2,5,56.6
96.8,7.8,81.9,50.4,4,84.0
56.9,7.1,69.8,81.7,5,66.8
67.1,6.7,93.0,60.8,5,67.9
55.7,2.8,58.8,98.5,7,63.2
96.2,2.2,74.8,78.5,5,76.5
93.9,5.7,91.3,89.3,5,91.7
62.9,7.5,45.6,48.0,10,56.9
83.0,4.9,91.5,91.7,6,84.8
90.9,5.0,77.8,95.4,4,78.3
77.8,3.0,43.7,69.2,10,60.7
76.5,6.4,56.6,76.4,10,79.7
62.1,2.3,78.9,85.9,6,64.1
54.7,3.3,43.7,50.5,6,49.5
94.9,4.0,72.0,70.2,3,72.7
95.0,4.6,59.0,63.9,6,72.1
81.7,2.7,74.2,48.8,7,66.1
67.0,1.8,42.5,62.1,7,53.3
67.5,5.3,87.9,44.1,10,71.2
86.3,3.0,93.5,41.5,9,75.2
94.9,5.1,93.3,48.1,3,75.0
94.4,2.1,81.2,97.8,9,83.8
89.0,4.4,47.2,73.0,9,66.0
82.1,4.7,81.7,97.9,10,84.9
54.2,1.4,41.4,65.9,8,49.6
58.1,3.4,41.2,58.7,10,57.1
94.9,1.9,57.8,70.4,4,64.0
80.3,1.4,66.9,66.4,4,56.8
50.5,7.9,82.4,46.3,6,71.2
55.1,3.3,77.6,78.4,6,63.6
83.2,6.7,64.5,53.0,8,68.4
50.3,2.8,55.0,77.2,6,54.5
58.0,5.8,94.8,79.0,4,79.5
77.4,6.3,63.4,49.1,9,61.7
84.6,5.2,64.8,43.7,10,77.7
82.6,4.3,49.0,86.8,5,68.8
61.2,3.9,83.7,67.6,7,70.2
85.6,3.4,78.2,43.5,5,66.5
61.9,7.5,52.1,99.7,5,69.8
66.3,6.8,44.5,43.5,4,55.8
87.3,7.8,77.4,81.7,5,82.8
82.5,1.9,76.0,99.0,10,79.5
92.5,6.1,55.0,54.4,8,69.1
82.9,7.6,92.3,48.5,3,75.9
78.4,2.3,48.3,47.3,6,53.7
54.7,1.5,63.8,58.2,3,51.6
68.4,6.2,91.9,46.1,9,78.4
63.3,5.0,63.1,81.5,10,71.5
62.2,6.9,75.1,43.7,10,60.1
98.7,2.0,61.9,70.6,7,71.0
69.7,6.6,55.1,99.8,10,75.1
94.6,2.4,94.1,88.8,6,82.7
81.6,2.1,62.5,76.9,10,67.7
89.7,2.1,89.2,58.4,5,75.9
75.1,6.7,52.6,77.4,7,71.2
78.8,5.7,51.7,71.6,6,63.1
74.6,4.7,41.7,65.6,8,61.0
59.8,3.5,75.8,47.8,8,59.8
86.1,7.1,60.3,93.2,8,74.2
64.0,3.7,87.5,67.0,8,70.2
51.2,6.7,66.0,51.7,5,62.9
82.3,4.1,93.3,62.1,10,82.6
58.9,3.6,50.2,64.8,3,54.7
97.0,4.2,87.8,89.7,6,86.2
97.7,3.1,82.7,84.0,5,80.4
95.7,6.2,82.4,86.2,8,83.8
68.5,4.5,86.5,40.7,9,70.8
50.8,2.6,81.9,65.0,10,68.7
96.4,7.3,74.4,68.9,3,79.5
71.4,3.7,47.2,41.2,9,58.9
98.3,4.8,41.8,55.6,7,65.3
98.2,7.3,90.6,85.6,9,92.7
92.7,5.4,73.9,48.2,7,75.5
64.7,1.8,83.8,72.1,7,68.2
69.3,7.6,66.5,52.9,8,66.3
92.6,5.4,46.5,40.7,7,60.7
65.8,3.3,46.9,54.5,4,49.7
58.5,2.0,77.7,98.6,6,67.3
77.8,6.6,63.7,88.1,6,73.6
96.8,5.3,51.0,97.6,8,73.6
84.8,4.7,67.0,69.3,4,67.9
78.5,7.3,43.5,46.6,9,56.6
54.9,6.5,72.0,72.9,5,67.9
80.8,2.1,54.8,67.3,9,63.1
99.5,3.2,83.9,90.7,10,82.7
57.0,2.7,57.1,45.9,5,53.5
75.9,6.2,65.0,69.3,7,73.3
93.9,1.2,40.6,49.0,3,46.9
87.0,5.0,44.0,59.5,5,58.2
84.9,6.3,61.6,84.2,3,69.2
85.1,7.1,66.4,68.6,6,70.9
68.0,3.4,73.0,62.6,3,65.0
64.7,6.7,56.0,63.7,6,62.9
90.5,1.8,78.2,67.6,4,68.6
90.5,6.9,87.3,87.1,4,78.2
93.4,1.9,82.9,93.5,8,82.2
95.7,3.8,42.2,97.3,8,66.5
75.6,6.6,66.4,87.2,7,75.2
75.1,2.0,45.8,58.9,5,54.5
89.9,2.6,53.3,81.3,7,71.0
82.5,6.1,94.3,66.3,6,76.8
85.1,6.0,47.8,55.3,7,54.7
89.8,5.5,67.4,90.5,3,75.3
94.5,5.9,74.0,42.3,6,77.0
66.9,4.8,78.6,94.1,8,80.4
68.8,2.8,70.8,67.7,4,63.5
54.7,3.4,40.5,78.2,8,53.6
78.9,2.3,58.0,79.6,5,65.8
51.8,7.4,68.5,93.7,6,68.6
73.3,5.1,44.8,78.2,6,63.5
77.1,3.8,59.3,76.8,3,65.0
64.3,4.2,41.8,44.0,5,53.1
79.5,7.6,44.3,71.1,4,72.5
51.5,2.1,61.8,49.0,9,55.8
51.9,5.1,47.3,84.2,6,57.3
91.1,4.5,71.2,70.7,6,73.4
68.0,5.3,77.9,80.8,3,65.5
56.4,1.1,84.0,42.5,7,57.2
76.1,7.1,51.0,45.1,10,63.3
88.5,7.5,49.2,83.0,4,68.9
60.8,5.0,45.8,44.3,8,54.4
81.1,5.9,75.0,44.3,5,65.7
54.3,7.5,78.9,40.7,6,68.7
52.6,6.0,41.7,97.4,6,61.0
76.6,2.1,91.5,84.3,8,77.5
77.0,5.0,42.9,61.2,4,56.3
81.9,5.2,69.8,57.8,10,72.8
86.3,4.0,79.0,61.0,7,75.5
98.8,6.2,87.9,86.5,6,84.2
75.8,7.5,79.3,79.7,10,80.0
66.1,7.5,84.1,51.1,4,69.7
89.8,4.2,58.7,50.4,8,61.7
63.5,1.8,84.8,45.9,3,57.4
71.9,7.9,44.4,79.6,7,65.5
53.9,6.9,89.2,85.9,5,78.8
51.3,1.9,70.1,55.9,6,56.9
98.1,7.4,85.0,41.3,4,77.5
91.8,7.1,64.9,44.9,3,70.2
84.8,4.6,75.4,98.1,5,77.7
70.4,5.1,69.0,57.7,9,69.4
58.7,3.8,80.2,86.2,4,68.6
57.8,1.4,44.5,77.5,4,51.6
62.5,3.3,43.3,62.9,5,50.6
77.5,6.6,53.6,52.3,3,53.6
85.7,1.0,48.8,47.3,9,56.3
83.0,3.3,87.9,76.9,10,84.2
64.0,3.8,52.1,86.5,10,68.0
97.7,4.8,93.7,78.6,8,89.4
86.9,7.4,58.5,71.8,3,73.8
77.7,3.4,50.0,42.5,7,56.4
80.6,3.4,83.4,98.1,6,79.5
71.0,6.2,76.2,87.9,5,73.4
62.4,4.2,67.4,57.6,8,62.4
67.8,2.6,70.5,98.8,9,74.3
87.9,4.2,79.6,76.1,5,78.9
50.7,2.0,52.6,74.9,5,52.6
55.8,2.2,94.8,84.9,3,68.5
52.3,4.5,93.6,88.7,6,75.1
52.0,3.9,75.8,79.4,7,68.7
92.8,7.4,51.0,47.7,10,65.3
85.2,3.5,77.4,60.3,4,62.1
73.7,5.1,44.0,95.7,4,62.1
54.9,5.4,41.7,53.5,5,47.5
74.6,1.1,54.2,62.3,10,58.2
73.7,5.6,65.4,65.9,10,70.5
58.7,2.2,87.8,66.4,6,65.5
71.7,7.7,80.0,76.8,9,84.4
69.9,2.0,80.8,96.6,9,76.3
80.8,3.9,63.4,54.4,8,66.4
81.8,1.6,59.0,47.3,3,57.2
52.3,8.0,60.4,51.8,6,57.9
68.7,4.5,94.3,93.2,6,83.5
81.3,5.2,42.2,78.7,3,60.8
75.2,1.5,87.7,57.2,10,73.1
92.8,6.2,71.8,89.0,9,79.5
82.9,2.5,64.1,91.7,9,67.8
58.1,7.3,79.9,90.8,10,82.0
53.5,2.4,66.8,95.1,9,67.8
82.1,2.3,88.0,55.1,5,67.2
51.3,1.3,89.5,85.3,6,65.3
79.3,4.3,63.2,67.6,4,68.5
97.0,5.0,55.2,90.5,3,67.9
78.8,1.5,72.6,83.7,9,76.2
69.4,6.4,90.2,86.6,8,79.6
82.2,4.2,51.6,79.4,9,69.8
72.9,4.7,74.3,50.6,9,67.6
77.3,4.1,74.7,72.7,7,73.6
97.1,3.8,80.3,99.1,5,80.3
69.3,4.9,47.2,96.2,3,62.4
98.1,2.1,79.4,42.6,7,69.7
95.3,2.3,90.0,49.9,7,71.3
59.8,7.0,49.9,47.9,8,61.2
53.5,7.6,53.1,83.6,6,63.3
55.0,3.6,93.4,89.1,8,75.4
50.9,2.9,50.0,52.8,6,46.9
54.7,5.5,87.0,70.4,6,63.6
84.2,3.9,67.1,90.4,3,70.2
53.6,1.2,53.6,84.0,9,65.1
65.9,2.1,87.9,72.5,3,69.6
92.2,6.0,64.5,75.4,5,73.7
51.2,5.6,68.3,70.5,6,63.2
90.7,1.2,59.8,57.9,7,62.6
64.1,2.6,72.6,73.9,9,68.9
55.9,2.6,49.0,81.3,4,51.0
84.8,5.7,61.5,92.4,5,77.1
81.4,1.1,93.3,78.2,3,74.9
93.9,1.7,54.2,85.7,8,70.7
86.8,6.6,76.1,49.6,5,73.5
90.2,2.2,57.9,67.7,5,63.8
64.1,5.6,82.5,40.6,9,70.6
58.9,2.7,47.2,54.8,5,52.0
87.5,1.7,93.3,83.6,5,76.8
90.3,2.7,65.0,99.5,4,70.8
99.5,6.1,53.0,46.0,10,70.0
70.6,7.0,44.0,64.1,8,67.4
68.6,6.8,49.3,88.0,8,64.9
88.8,3.8,68.6,52.2,8,64.3
67.0,5.7,58.5,73.3,6,65.7
96.5,2.4,85.6,84.0,7,80.3
92.9,3.1,63.7,77.0,10,74.0
71.4,7.3,53.7,51.3,8,64.9
87.5,1.1,73.9,61.3,5,65.0
87.7,1.6,78.9,87.0,5,77.8
55.2,2.5,49.2,73.3,8,50.9
95.1,1.2,49.2,40.3,9,55.6
75.3,2.3,42.0,85.7,8,60.1
91.3,5.1,80.5,42.1,5,66.1
66.0,3.9,76.5,84.7,6,70.4
94.8,7.2,66.1,52.1,3,75.5
69.5,6.7,86.4,97.5,3,79.7
50.5,3.4,84.3,62.1,10,68.3
95.3,2.8,72.2,59.6,10,69.5
54.6,3.7,87.8,48.9,8,64.2
66.0,5.1,51.3,58.3,4,55.9
97.5,2.9,46.2,92.6,8,68.8
97.5,5.4,54.8,99.8,9,82.6
78.7,3.9,43.1,62.1,8,61.1
81.6,4.9,69.2,66.9,10,70.0
72.4,4.1,91.5,83.3,3,76.0
64.7,3.1,42.2,93.2,5,59.6
66.4,7.6,46.7,75.6,8,69.4
83.6,6.3,64.9,63.5,5,74.6
87.6,2.0,91.4,64.8,5,70.8
89.6,7.1,57.4,81.7,4,70.2
89.5,4.4,67.9,40.2,5,61.0
54.6,7.3,42.3,77.2,3,56.5
74.7,6.6,48.2,61.3,6,63.9
52.9,4.0,94.3,87.7,6,77.5
77.5,1.2,93.1,45.6,7,68.2
72.1,2.9,40.3,75.3,9,57.7
94.4,4.8,92.3,68.9,8,83.7
67.5,5.4,75.2,78.5,9,71.7
55.9,2.8,87.7,43.9,3,66.3
57.1,2.0,65.0,74.8,5,54.1
88.1,6.8,68.4,73.7,6,76.3
80.9,7.9,66.9,73.6,9,83.5
55.1,4.7,76.7,76.2,3,65.3
54.2,2.2,47.7,80.6,6,53.9
85.0,2.9,41.6,88.3,5,60.8
53.6,1.1,56.9,56.2,9,52.9
91.1,7.4,78.8,89.5,6,88.3
85.3,1.8,51.1,69.9,8,55.7
54.1,5.0,77.0,44.6,10,69.6
54.2,2.9,93.3,43.5,8,61.4
99.3,4.9,45.2,60.1,7,64.8
68.7,5.6,77.0,87.1,7,74.2
68.5,6.8,64.4,82.5,6,72.9
90.6,2.4,87.7,87.3,10,77.7
97.4,1.1,49.7,71.0,3,61.4
99.3,2.0,78.1,66.4,8,80.9
87.7,7.3,86.1,48.8,3,71.1
68.8,7.1,92.0,59.7,10,80.6
54.2,5.2,77.6,66.0,3,62.1
88.9,5.2,67.3,45.3,10,71.9
77.9,5.7,74.0,53.2,6,69.4
71.2,2.2,87.8,75.9,3,67.5
95.3,7.4,71.4,84.1,8,84.6
55.6,3.9,41.7,99.9,5,63.8
74.6,3.7,91.2,96.0,7,80.3
50.6,4.6,77.9,78.6,5,68.7
73.4,1.3,77.2,65.3,3,58.9
52.8,2.2,51.9,78.2,5,51.4
55.9,6.2,76.2,87.1,8,75.2
55.9,1.6,61.7,47.1,8,58.2
82.5,5.2,75.8,64.6,3,71.4
87.3,2.7,45.9,90.4,6,63.9
79.2,3.7,76.2,63.0,5,68.6
98.1,3.0,95.0,74.3,6,78.2
68.7,3.5,42.7,75.3,6,59.0
64.3,6.0,93.7,51.1,10,78.8
93.4,3.1,62.4,61.7,4,64.0
61.2,5.0,87.9,60.1,3,66.5
98.2,4.3,83.0,41.6,7,74.8
50.6,5.6,71.2,41.5,8,59.4
98.5,7.6,80.6,89.9,8,88.4
52.2,6.1,88.3,56.4,3,73.1
94.6,2.5,62.2,71.1,10,70.7
76.4,1.2,58.0,57.9,9,58.9
99.6,2.8,76.7,96.4,9,80.6
53.7,5.2,84.4,55.6,9,71.3
77.7,1.4,81.9,65.8,10,70.7
98.5,4.5,83.9,92.4,7,82.8
76.2,5.2,64.0,90.5,8,77.7
81.5,3.3,85.0,51.2,3,72.0
84.8,6.4,46.6,88.2,10,70.9
72.7,1.7,69.9,67.5,8,59.6
81.4,1.5,40.3,69.0,6,58.4
79.2,6.1,57.9,48.0,5,60.7
95.1,4.5,60.2,44.8,5,66.9
52.3,5.8,61.8,83.7,10,62.2
64.0,4.0,78.3,69.8,8,72.5
97.5,2.7,61.4,66.2,4,62.8
94.5,6.7,64.7,83.8,7,80.9
72.8,6.6,53.1,85.9,9,71.1
81.0,5.9,60.5,49.5,7,62.9
63.9,2.9,52.5,76.6,7,58.4
59.4,5.1,44.0,48.1,10,57.6
73.2,3.5,73.2,85.1,6,71.3
67.7,1.6,76.8,79.4,7,69.5
79.2,7.4,74.1,97.4,5,86.3
53.9,2.0,65.5,44.1,6,48.3
98.7,7.7,60.9,43.4,3,73.4
99.3,4.1,87.5,56.9,7,78.9
